job_id,job_title,company,location,experience_level,work_type,salary_usd,skills,year,month,posted_date
14,LLM Engineer,Uber,"Hyderabad, India",Lead,Hybrid,46809.0,"A/B Testing, FastAPI, GCP, NLP",2022,7,2022-07-12
15,AI Engineer,Salesforce,"Hyderabad, India",Senior,Onsite,37025.0,"PyTorch, Airflow, scikit-learn",2025,2,2025-02-08
16,Data Scientist,Uber,"New York, NY",Mid,Hybrid,107426.0,"Data Engineering, NLP, PyTorch",2025,9,2025-09-27
17,Machine Learning Engineer,Microsoft,"Hyderabad, India",Mid,Hybrid,32762.0,"Azure, Airflow, PyTorch, Deep Learning, GCP, Python",2025,5,2025-05-26
18,NLP Engineer,Meta,"Bengaluru, India",Senior,Onsite,46111.0,"R, Docker, GCP, Java, NLP, SQL, Statistics, NumPy",2024,12,2024-12-11
19,Machine Learning Engineer,Databricks,"Los Angeles, CA",Senior,Remote,151654.0,"Deep Learning, AWS, Machine Learning, LLM, TensorFlow, scikit-learn, Linux",2023,2,2023-02-19
20,Data Scientist,Databricks,Remote,Mid,Hybrid,95676.0,"Transformers, Power BI, Azure, scikit-learn, Pandas, Kubernetes, Computer Vision",2023,3,2023-03-22
21,MLOps Engineer,Salesforce,Singapore,Lead,Remote,217302.0,"NLP, Machine Learning, Azure, Power BI, MLOps, Java, AWS",2025,4,2025-04-12
22,Data Scientist,Salesforce,"Chicago, IL",Mid,Onsite,112078.0,"Scala, Python, LLM, Feature Engineering, scikit-learn, PyTorch, Machine Learning, MLOps",2023,2,2023-02-24
23,LLM Engineer,Meta,Remote,Senior,Remote,179694.0,"Power BI, Java, R, MLOps, Data Engineering, Linux, SQL, TensorFlow",2024,5,2024-05-02
24,Machine Learning Engineer,TCS,"Bengaluru, India",Mid,Hybrid,30919.0,"Linux, Python, Computer Vision, TensorFlow, Data Engineering, Pandas, Machine Learning",2024,6,2024-06-19
25,LLM Engineer,Nvidia,"San Francisco, CA",Mid,Onsite,130387.0,"Pandas, Azure, Hadoop",2025,6,2025-06-25
26,LLM Engineer,Tesla,"Ahmedabad, India",Senior,Onsite,50574.0,"Kubernetes, AWS, FastAPI, SQL",2023,6,2023-06-26
27,Data Analyst,Accenture,"Berlin, Germany",Senior,Remote,91186.0,"NLP, Git, TensorFlow, Linux, Hadoop, Computer Vision, Scala, FastAPI",2025,6,2025-06-10
28,NLP Engineer,Tesla,"New York, NY",Senior,Remote,165854.0,"Machine Learning, Tableau, Pandas, Java, Airflow",2025,9,2025-09-11
29,Data Analyst,Microsoft,"Ahmedabad, India",Entry,Onsite,15536.0,"TensorFlow, NLP, Linux, Pandas, Transformers",2024,9,2024-09-04
30,AI Engineer,Stripe,"Seattle, WA",Senior,Remote,160913.0,"GCP, NumPy, Linux, TensorFlow, scikit-learn, Kubernetes, LLM",2024,2,2024-02-24
31,Computer Vision Engineer,Adobe,"Bengaluru, India",Mid,Hybrid,33901.0,"MLOps, GCP, FastAPI, scikit-learn, Java, A/B Testing, NumPy",2025,10,2025-10-19
32,Data Scientist,Airbnb,"San Francisco, CA",Mid,Hybrid,140805.0,"Transformers, Feature Engineering, Data Engineering, Spark, scikit-learn, NLP, Power BI",2024,12,2024-12-06
33,MLOps Engineer,Meta,"Bengaluru, India",Senior,Remote,42435.0,"LLM, Spark, GCP, Docker",2022,4,2022-04-16
34,MLOps Engineer,TCS,"Boston, MA",Lead,Hybrid,161344.0,"Git, R, Airflow, Computer Vision, Machine Learning, Transformers, Pandas, Python",2025,2,2025-02-25
35,AI Engineer,Amazon,"Mumbai, India",Mid,Remote,40146.0,"Computer Vision, Feature Engineering, MLOps, Scala",2025,10,2025-10-11
36,Data Analyst,Intel,Remote,Senior,Hybrid,90300.0,"Data Engineering, Kubernetes, A/B Testing, Spark, MLOps, Git, Computer Vision",2025,5,2025-05-25
37,NLP Engineer,IBM,"New York, NY",Mid,Hybrid,127312.0,"Tableau, scikit-learn, Transformers, Deep Learning",2023,4,2023-04-13
38,Deep Learning Engineer,Infosys,"San Francisco, CA",Mid,Hybrid,104630.0,"PyTorch, Azure, FastAPI, GCP, Data Engineering, Git",2024,12,2024-12-01
39,AI Research Scientist,TCS,"Austin, TX",Entry,Remote,87424.0,"FastAPI, Spark, R, Computer Vision, MLOps, Azure",2024,7,2024-07-11
40,MLOps Engineer,HCL Technologies,"Hyderabad, India",Senior,Onsite,43508.0,"SQL, Airflow, Scala, TensorFlow, Transformers, Azure, Machine Learning",2025,3,2025-03-02
41,Data Scientist,Apple,"Boston, MA",Mid,Onsite,125408.0,"FastAPI, Power BI, Deep Learning, A/B Testing, SQL",2025,1,2025-01-12
42,Data Scientist,Google,"Mumbai, India",Entry,Remote,23774.0,"GCP, SQL, Docker, Hadoop",2023,11,2023-11-04
43,LLM Engineer,Amazon,"Bengaluru, India",Senior,Remote,49217.0,"Computer Vision, Kubernetes, LLM, PyTorch, Statistics, Python, Docker",2024,7,2024-07-13
44,Data Analyst,Amazon,Remote,Senior,Remote,101977.0,"LLM, Computer Vision, TensorFlow, AWS, Tableau, Azure, scikit-learn, A/B Testing",2022,11,2022-11-11
45,Machine Learning Engineer,Nvidia,"Los Angeles, CA",Mid,Remote,109567.0,"Docker, Linux, AWS, NumPy, Power BI, Transformers",2023,9,2023-09-25
46,LLM Engineer,Nvidia,"Hyderabad, India",Mid,Onsite,35685.0,"Tableau, Data Engineering, Hadoop",2025,10,2025-10-20
47,MLOps Engineer,Apple,"Los Angeles, CA",Mid,Hybrid,112233.0,"Power BI, scikit-learn, Tableau, Python, Scala",2025,2,2025-02-08
48,Deep Learning Engineer,IBM,"Hyderabad, India",Senior,Hybrid,55152.0,"Data Engineering, SQL, Deep Learning, Docker, Computer Vision, GCP",2025,5,2025-05-22
49,LLM Engineer,IBM,"Chicago, IL",Mid,Hybrid,145252.0,"Pandas, Feature Engineering, Tableau, LLM, Power BI",2023,12,2023-12-07
50,Data Scientist,Wipro,"Mumbai, India",Senior,Remote,32495.0,"A/B Testing, Tableau, Statistics, PyTorch, FastAPI, NLP, Docker, Computer Vision",2024,5,2024-05-01
51,Deep Learning Engineer,Microsoft,"San Francisco, CA",Entry,Remote,102642.0,"R, NLP, Python, Statistics",2024,8,2024-08-11
52,Data Scientist,Google,"Amsterdam, Netherlands",Mid,Onsite,109876.0,"R, Machine Learning, PyTorch, Java, A/B Testing, Airflow",2024,5,2024-05-03
53,AI Architect,Microsoft,"Pune, India",Senior,Onsite,50884.0,"Scala, Git, Data Engineering, LLM",2025,7,2025-07-10
54,LLM Engineer,Google,"Mumbai, India",Entry,Onsite,30280.0,"Azure, Power BI, Deep Learning, R, Computer Vision, A/B Testing, Tableau, TensorFlow",2023,7,2023-07-15
55,Deep Learning Engineer,IBM,"San Francisco, CA",Mid,Remote,153724.0,"Machine Learning, Spark, Power BI, Airflow, A/B Testing, Transformers",2024,4,2024-04-14
56,Machine Learning Engineer,Amazon,"New York, NY",Mid,Remote,148085.0,"Kubernetes, LLM, Statistics",2024,8,2024-08-23
57,Data Scientist,Nvidia,"Seattle, WA",Mid,Hybrid,103598.0,"TensorFlow, Linux, Transformers, LLM, MLOps, Python, Scala",2023,11,2023-11-27
58,AI Research Scientist,Databricks,"San Francisco, CA",Senior,Onsite,177172.0,"TensorFlow, AWS, A/B Testing, Power BI, Transformers, Spark, MLOps",2023,10,2023-10-14
59,MLOps Engineer,IBM,"San Francisco, CA",Mid,Remote,123522.0,"NLP, Kubernetes, scikit-learn, Azure, Pandas, Hadoop, Docker, R",2025,9,2025-09-02
60,AI Engineer,Apple,"Seattle, WA",Lead,Hybrid,226764.0,"Python, Feature Engineering, FastAPI, SQL, NLP, Power BI, AWS",2024,8,2024-08-21
61,AI Engineer,Google,"Seattle, WA",Entry,Remote,88830.0,"R, Computer Vision, SQL, Transformers, LLM, Airflow, Java, Pandas",2023,9,2023-09-01
62,LLM Engineer,Microsoft,"Sydney, Australia",Lead,Hybrid,,"Docker, R, Statistics",2024,5,2024-05-14
63,AI Research Scientist,SpaceX,"Seattle, WA",Mid,Remote,124882.0,"Java, MLOps, Machine Learning, Scala, Git, Airflow, Linux",2024,9,2024-09-09
64,NLP Engineer,Meta,"Seattle, WA",Senior,Onsite,135919.0,"Docker, Data Engineering, A/B Testing, AWS, Kubernetes, Tableau",2025,7,2025-07-15
65,Data Analyst,Tesla,"Ahmedabad, India",Mid,Remote,25444.0,"TensorFlow, Transformers, A/B Testing, Pandas, Feature Engineering, Airflow",2024,11,2024-11-26
66,NLP Engineer,SpaceX,"Los Angeles, CA",Entry,Hybrid,104298.0,"scikit-learn, NLP, Data Engineering, PyTorch, Power BI, Spark, Python",2025,7,2025-07-28
67,MLOps Engineer,Microsoft,"Los Angeles, CA",Lead,Remote,183203.0,"Airflow, Deep Learning, scikit-learn, Linux, R, A/B Testing, Tableau, GCP",2025,11,2025-11-23
68,Computer Vision Engineer,IBM,"Chicago, IL",Senior,Remote,186830.0,"Statistics, Spark, Deep Learning, Azure, PyTorch, Git, Transformers, Pandas",2025,8,2025-08-06
69,Deep Learning Engineer,AMD,"San Francisco, CA",Senior,Remote,182385.0,"Linux, Docker, Hadoop, Scala, FastAPI",2024,3,2024-03-06
70,Machine Learning Engineer,Snowflake,"Austin, TX",Senior,Hybrid,157024.0,"Docker, Spark, Feature Engineering, Transformers, MLOps, Java, R",2025,8,2025-08-10
71,MLOps Engineer,Amazon,"Boston, MA",Mid,Hybrid,123952.0,"Linux, Power BI, Feature Engineering, Scala, Docker, NLP, GCP, Hadoop",2023,7,2023-07-19
72,AI Engineer,Apple,"Bengaluru, India",Entry,Onsite,31260.0,"Tableau, Python, PyTorch, Feature Engineering, LLM, NumPy",2024,5,2024-05-25
73,NLP Engineer,Snowflake,"Austin, TX",Senior,Hybrid,158017.0,"MLOps, NLP, TensorFlow, Docker, Airflow, Spark, SQL, Statistics",2024,3,2024-03-03
74,Computer Vision Engineer,Apple,"Boston, MA",Mid,Onsite,155002.0,"Scala, Java, Tableau, Kubernetes, Power BI",2025,8,2025-08-26
75,Data Scientist,Tesla,"London, UK",Mid,Remote,78984.0,"Airflow, NumPy, Deep Learning, Python",2023,2,2023-02-15
76,AI Engineer,Wipro,"Seattle, WA",Mid,Hybrid,143370.0,"NLP, Spark, A/B Testing, SQL, Transformers",2025,4,2025-04-21
77,Machine Learning Engineer,Deloitte,Singapore,Mid,Hybrid,134591.0,"TensorFlow, LLM, R, Computer Vision",2022,9,2022-09-05
78,AI Engineer,OpenAI,"Amsterdam, Netherlands",Senior,Hybrid,160766.0,"Docker, FastAPI, NLP, Java, Hadoop, LLM, Azure",2025,5,2025-05-02
79,Deep Learning Engineer,Amazon,"Boston, MA",Mid,Remote,138306.0,"NumPy, Pandas, PyTorch, GCP, MLOps, NLP, R, FastAPI",2024,11,2024-11-07
80,MLOps Engineer,Databricks,"San Francisco, CA",Senior,Remote,115594.0,"Azure, Machine Learning, Spark, scikit-learn",2025,10,2025-10-01
81,Data Scientist,SpaceX,"Ahmedabad, India",Mid,Onsite,31405.0,"SQL, MLOps, Python",2024,4,2024-04-19
82,Data Scientist,Amazon,"San Francisco, CA",Senior,Hybrid,153508.0,"Machine Learning, A/B Testing, Data Engineering, Git, AWS, Power BI, Statistics, PyTorch",2024,4,2024-04-20
83,Machine Learning Engineer,HCL Technologies,"Berlin, Germany",Mid,Hybrid,156822.0,"PyTorch, A/B Testing, Airflow",2024,2,2024-02-16
84,Deep Learning Engineer,Salesforce,"Toronto, Canada",Mid,Remote,128292.0,"Tableau, Transformers, Git, Scala",2023,9,2023-09-20
85,AI Engineer,HCL Technologies,"San Francisco, CA",Senior,Onsite,150572.0,"Azure, Linux, Data Engineering, R, Computer Vision, Scala, Kubernetes",2025,7,2025-07-14
86,Deep Learning Engineer,Apple,"Seattle, WA",Mid,Onsite,128563.0,"A/B Testing, Machine Learning, Deep Learning, FastAPI, TensorFlow, Feature Engineering, Azure, PyTorch",2025,6,2025-06-26
87,Machine Learning Engineer,Google,"Mumbai, India",Senior,Hybrid,52890.0,"Pandas, Linux, PyTorch, A/B Testing, Docker, LLM",2024,2,2024-02-19
88,LLM Engineer,Microsoft,"Los Angeles, CA",Senior,Remote,185281.0,"NumPy, Computer Vision, Tableau, Statistics, Java, Airflow, Azure",2025,10,2025-10-20
89,MLOps Engineer,Airbnb,Remote,Senior,Hybrid,142149.0,"AWS, Tableau, LLM",2025,6,2025-06-01
90,Data Scientist,Microsoft,"Bengaluru, India",Entry,Hybrid,24730.0,"Deep Learning, Scala, Azure",2024,8,2024-08-11
91,Machine Learning Engineer,Apple,"Seattle, WA",Lead,Hybrid,209613.0,"Docker, Kubernetes, PyTorch",2025,5,2025-05-15
92,MLOps Engineer,IBM,"Boston, MA",Mid,Onsite,132609.0,"Pandas, Linux, Computer Vision",2023,11,2023-11-19
93,LLM Engineer,Anthropic,"San Francisco, CA",Mid,Hybrid,,"Azure, LLM, MLOps",2025,5,2025-05-11
94,Machine Learning Engineer,IBM,"Boston, MA",Entry,Hybrid,92417.0,"Java, Pandas, Machine Learning, Airflow",2025,1,2025-01-14
95,Machine Learning Engineer,Samsung,"Berlin, Germany",Senior,Hybrid,162191.0,"FastAPI, Statistics, Computer Vision, GCP, Python, Kubernetes, Deep Learning, Airflow",2025,8,2025-08-27
96,Deep Learning Engineer,OpenAI,"Boston, MA",Entry,Hybrid,81448.0,"Scala, Deep Learning, Airflow, Linux, Docker, NumPy",2024,6,2024-06-25
97,Machine Learning Engineer,Adobe,"San Francisco, CA",Mid,Onsite,137933.0,"Pandas, Docker, Hadoop, NLP, Power BI",2023,10,2023-10-05
98,NLP Engineer,DeepMind,"New York, NY",Senior,Hybrid,163671.0,"Data Engineering, Transformers, Java, Machine Learning, Spark, TensorFlow, Hadoop",2024,5,2024-05-26
99,Data Scientist,Google,"Los Angeles, CA",Mid,Hybrid,115270.0,"NumPy, Statistics, Machine Learning",2024,2,2024-02-20
100,LLM Engineer,OpenAI,Remote,Lead,Hybrid,210891.0,"Data Engineering, GCP, Transformers",2024,9,2024-09-05
101,Data Analyst,Salesforce,"London, UK",Senior,Onsite,87830.0,"Java, AWS, TensorFlow",2023,8,2023-08-15
102,LLM Engineer,Snowflake,"Austin, TX",Lead,Remote,206046.0,"PyTorch, scikit-learn, Machine Learning, NLP, Git",2023,12,2023-12-28
103,MLOps Engineer,Qualcomm,"Toronto, Canada",Mid,Hybrid,113914.0,"Pandas, LLM, Airflow, MLOps",2024,2,2024-02-10
104,LLM Engineer,DeepMind,"Seattle, WA",Entry,Hybrid,91050.0,"Scala, Deep Learning, Linux, Power BI, AWS, Python, Feature Engineering, Docker",2023,4,2023-04-11
105,Data Analyst,IBM,"New York, NY",Entry,Remote,,"Java, Scala, TensorFlow",2025,10,2025-10-05
106,LLM Engineer,Microsoft,"New York, NY",Senior,Hybrid,186892.0,"Data Engineering, TensorFlow, FastAPI, NumPy",2025,4,2025-04-15
107,MLOps Engineer,TCS,"Pune, India",Mid,Remote,40792.0,"GCP, NumPy, Data Engineering, Spark, Git, Docker",2025,9,2025-09-17
108,AI Engineer,Amazon,"New York, NY",Senior,Onsite,170243.0,"A/B Testing, NumPy, NLP",2025,9,2025-09-28
109,Machine Learning Engineer,Microsoft,"New York, NY",Mid,Hybrid,137316.0,"Deep Learning, Spark, Data Engineering, R, AWS, Python",2024,7,2024-07-17
110,AI Engineer,OpenAI,"San Francisco, CA",Mid,Remote,129334.0,"scikit-learn, Docker, MLOps",2022,8,2022-08-23
111,AI Research Scientist,TCS,"Los Angeles, CA",Senior,Onsite,141633.0,"Power BI, Azure, Docker",2024,12,2024-12-20
112,LLM Engineer,Microsoft,"Seattle, WA",Mid,Remote,139056.0,"Feature Engineering, Machine Learning, Computer Vision, FastAPI, Data Engineering, Hadoop",2024,1,2024-01-21
113,LLM Engineer,Meta,"New York, NY",Mid,Hybrid,140508.0,"FastAPI, AWS, Deep Learning, Scala",2025,2,2025-02-17
114,LLM Engineer,HCL Technologies,"Los Angeles, CA",Entry,Onsite,130530.0,"Git, NumPy, Power BI",2025,6,2025-06-26
115,Machine Learning Engineer,Meta,"Bengaluru, India",Entry,Hybrid,26314.0,"MLOps, TensorFlow, Pandas, scikit-learn, AWS",2025,11,2025-11-15
116,AI Product Manager,IBM,"New York, NY",Entry,Hybrid,92945.0,"TensorFlow, Statistics, GCP, SQL, Airflow, NLP",2025,6,2025-06-10
117,LLM Engineer,SpaceX,"Chicago, IL",Mid,Onsite,138918.0,"Statistics, Pandas, PyTorch, scikit-learn",2023,6,2023-06-14
118,Computer Vision Engineer,Wipro,"Toronto, Canada",Mid,Onsite,112198.0,"R, NumPy, Tableau, Airflow, TensorFlow, Java",2024,7,2024-07-20
119,AI Architect,Amazon,"Seattle, WA",Entry,Remote,127132.0,"LLM, Data Engineering, Linux, Kubernetes, Pandas",2024,12,2024-12-28
120,Computer Vision Engineer,Snowflake,"Boston, MA",Senior,Onsite,181796.0,"Machine Learning, Airflow, NumPy",2024,12,2024-12-22
121,Machine Learning Engineer,Google,"Berlin, Germany",Senior,Hybrid,186356.0,"Machine Learning, Hadoop, NumPy, Git",2025,1,2025-01-20
122,Machine Learning Engineer,Salesforce,"Austin, TX",Mid,Remote,118664.0,"Scala, NumPy, Airflow, Transformers",2024,4,2024-04-04
123,Machine Learning Engineer,Amazon,"Chicago, IL",Lead,Remote,242079.0,"Data Engineering, Azure, Statistics, R, GCP",2023,2,2023-02-15
124,Machine Learning Engineer,Infosys,"Sydney, Australia",Senior,Onsite,141568.0,"Pandas, Machine Learning, Statistics, LLM, Kubernetes",2025,12,2025-12-21
125,Machine Learning Engineer,OpenAI,"New York, NY",Lead,Onsite,221791.0,"R, SQL, NumPy, Feature Engineering",2025,9,2025-09-05
126,MLOps Engineer,Microsoft,"Seattle, WA",Lead,Hybrid,233375.0,"FastAPI, Scala, Machine Learning, R, Kubernetes, Transformers, TensorFlow",2024,11,2024-11-17
127,AI Engineer,Tesla,"Pune, India",Senior,Remote,41140.0,"Linux, Java, PyTorch, Computer Vision",2024,5,2024-05-06
128,Machine Learning Engineer,Baidu,"New York, NY",Lead,Hybrid,193119.0,"Deep Learning, Power BI, GCP, Tableau, MLOps",2024,10,2024-10-18
129,Machine Learning Engineer,DeepMind,Remote,Senior,Remote,172235.0,"scikit-learn, TensorFlow, SQL, Java, R, Transformers, Git",2024,11,2024-11-07
130,NLP Engineer,Nvidia,"Bengaluru, India",Mid,Hybrid,32674.0,"LLM, A/B Testing, Hadoop, Airflow, Feature Engineering",2022,1,2022-01-06
131,AI Engineer,IBM,"New York, NY",Senior,Remote,135721.0,"Transformers, Pandas, Airflow, Machine Learning, Git, AWS, Power BI, Tableau",2023,4,2023-04-15
132,Machine Learning Engineer,Salesforce,"New York, NY",Entry,Onsite,96991.0,"FastAPI, Hadoop, Kubernetes, Scala, R, Statistics, NumPy",2024,3,2024-03-16
133,AI Architect,Salesforce,"Toronto, Canada",Mid,Remote,135066.0,"Java, Feature Engineering, Hadoop, NLP, Statistics, AWS",2022,5,2022-05-16
134,LLM Engineer,McKinsey,"Bengaluru, India",Mid,Remote,41279.0,"Linux, MLOps, Power BI",2025,7,2025-07-12
135,Machine Learning Engineer,Google,Remote,Mid,Remote,118503.0,"Java, Data Engineering, Tableau, FastAPI, LLM, scikit-learn",2024,3,2024-03-04
136,AI Engineer,HCL Technologies,"Austin, TX",Lead,Onsite,240756.0,"Java, Airflow, TensorFlow, MLOps",2025,8,2025-08-17
137,AI Engineer,Snowflake,"Chicago, IL",Mid,Hybrid,118234.0,"Airflow, LLM, scikit-learn, Java",2025,9,2025-09-16
138,Deep Learning Engineer,Apple,"London, UK",Mid,Hybrid,131513.0,"LLM, SQL, A/B Testing, MLOps, Transformers, Airflow",2025,10,2025-10-19
139,Data Scientist,Google,"Los Angeles, CA",Mid,Hybrid,126446.0,"Docker, Hadoop, TensorFlow, Statistics, Pandas, PyTorch",2023,8,2023-08-11
140,AI Engineer,Nvidia,"New York, NY",Mid,Hybrid,111224.0,"PyTorch, MLOps, Azure, Tableau, Kubernetes, scikit-learn",2024,7,2024-07-11
141,Data Analyst,Salesforce,"Chicago, IL",Mid,Hybrid,85060.0,"Power BI, A/B Testing, GCP, Java, Computer Vision, MLOps, Tableau, Docker",2023,5,2023-05-25
142,Data Scientist,Amazon,"Bengaluru, India",Mid,Remote,37315.0,"Tableau, Statistics, Computer Vision, Java, scikit-learn, Scala, GCP, Linux",2025,3,2025-03-10
143,Machine Learning Engineer,ByteDance,"San Francisco, CA",Lead,Hybrid,167231.0,"A/B Testing, Azure, GCP, FastAPI, Tableau, MLOps, Feature Engineering, Pandas",2023,2,2023-02-20
144,Deep Learning Engineer,Meta,"San Francisco, CA",Lead,Remote,217514.0,"PyTorch, NLP, FastAPI, scikit-learn",2025,2,2025-02-22
145,NLP Engineer,Google,Remote,Lead,Hybrid,199225.0,"A/B Testing, GCP, Statistics, Kubernetes, Docker, Transformers",2022,2,2022-02-21
146,LLM Engineer,Uber,"Hyderabad, India",Lead,Onsite,66460.0,"FastAPI, AWS, TensorFlow, Airflow",2025,3,2025-03-24
147,Data Analyst,Samsung,"Toronto, Canada",Entry,Hybrid,50923.0,"scikit-learn, Statistics, Feature Engineering",2025,9,2025-09-17
148,LLM Engineer,Baidu,"Berlin, Germany",Mid,Remote,117395.0,"scikit-learn, Kubernetes, Feature Engineering",2024,12,2024-12-06
149,Machine Learning Engineer,Apple,"Seattle, WA",Senior,Remote,180860.0,"Airflow, Linux, Transformers, TensorFlow, GCP, scikit-learn, PyTorch",2023,3,2023-03-16
150,Data Scientist,Meta,"Seattle, WA",Mid,Onsite,119305.0,"LLM, Python, Power BI, NumPy, Hadoop",2022,2,2022-02-15
151,Data Scientist,Nvidia,"Los Angeles, CA",Lead,Hybrid,184586.0,"Computer Vision, Statistics, NumPy, Spark, MLOps",2024,8,2024-08-24
152,AI Product Manager,OpenAI,"Bengaluru, India",Lead,Onsite,56344.0,"Azure, Hadoop, Deep Learning, Power BI, Spark, A/B Testing, Pandas, AWS",2022,10,2022-10-04
153,Machine Learning Engineer,Airbnb,"Los Angeles, CA",Senior,Remote,156311.0,"Scala, Data Engineering, Computer Vision, Azure, R",2022,9,2022-09-15
154,NLP Engineer,Salesforce,"Chicago, IL",Mid,Remote,127661.0,"LLM, SQL, Airflow, MLOps, FastAPI, Python",2025,10,2025-10-03
155,Machine Learning Engineer,OpenAI,"San Francisco, CA",Lead,Onsite,214486.0,"A/B Testing, TensorFlow, Statistics",2024,3,2024-03-25
156,MLOps Engineer,Wipro,"Mumbai, India",Mid,Onsite,30412.0,"Git, Scala, Deep Learning, scikit-learn, A/B Testing, Linux",2024,11,2024-11-28
157,AI Engineer,Amazon,"Chicago, IL",Mid,Hybrid,159718.0,"Python, SQL, LLM, Feature Engineering",2025,9,2025-09-14
158,LLM Engineer,Deloitte,"Seattle, WA",Mid,Remote,147431.0,"Computer Vision, TensorFlow, FastAPI, LLM, Git, Data Engineering, Python, Scala",2023,2,2023-02-20
159,Machine Learning Engineer,Databricks,"Bengaluru, India",Entry,Hybrid,23085.0,"Data Engineering, Spark, Azure, Git, Linux, A/B Testing",2022,9,2022-09-10
160,Data Scientist,Qualcomm,Remote,Senior,Onsite,158797.0,"Hadoop, LLM, Docker, Scala, Spark",2024,5,2024-05-02
161,LLM Engineer,Databricks,"Hyderabad, India",Entry,Hybrid,24910.0,"R, PyTorch, Pandas, A/B Testing, Transformers, scikit-learn, GCP",2025,6,2025-06-23
162,AI Engineer,Microsoft,"Austin, TX",Senior,Hybrid,182499.0,"LLM, Docker, Feature Engineering, PyTorch",2024,7,2024-07-18
163,LLM Engineer,OpenAI,"Seattle, WA",Mid,Remote,158894.0,"NumPy, Deep Learning, GCP, SQL, MLOps, R",2025,10,2025-10-02
164,AI Research Scientist,Amazon,"Pune, India",Senior,Hybrid,46446.0,"Azure, scikit-learn, LLM, A/B Testing, Feature Engineering, Python",2023,4,2023-04-24
165,Machine Learning Engineer,Goldman Sachs,"Los Angeles, CA",Mid,Hybrid,148598.0,"Airflow, Hadoop, Transformers, Statistics",2024,9,2024-09-21
166,AI Engineer,Meta,"Chicago, IL",Mid,Remote,136964.0,"A/B Testing, Transformers, Azure, AWS, Kubernetes, R, SQL, Statistics",2025,12,2025-12-05
167,Machine Learning Engineer,Airbnb,Remote,Senior,Remote,186989.0,"scikit-learn, Spark, Git, Hadoop",2024,11,2024-11-22
168,Data Scientist,TCS,"Los Angeles, CA",Senior,Hybrid,180704.0,"Kubernetes, Pandas, Scala, Machine Learning, NumPy, Tableau",2024,9,2024-09-21
169,Data Analyst,Uber,"London, UK",Entry,Onsite,58039.0,"Python, FastAPI, MLOps",2025,4,2025-04-03
170,Deep Learning Engineer,Google,"Los Angeles, CA",Mid,Hybrid,124426.0,"A/B Testing, R, SQL, Python, Tableau, Feature Engineering, Azure, Scala",2022,12,2022-12-09
171,LLM Engineer,Meta,"Los Angeles, CA",Senior,Hybrid,159223.0,"NLP, Scala, Docker, Hadoop",2023,9,2023-09-09
172,NLP Engineer,Meta,"Austin, TX",Mid,Hybrid,,"Hadoop, Spark, LLM, scikit-learn, FastAPI, Linux, TensorFlow",2025,11,2025-11-25
173,Machine Learning Engineer,Nvidia,"Austin, TX",Mid,Hybrid,131967.0,"Kubernetes, Deep Learning, R, Linux, Azure, Transformers, Airflow, Scala",2024,2,2024-02-17
