job_id,job_title,company,location,experience_level,work_type,salary_usd,skills,year,month,posted_date,salary_band
32,Data Scientist,Airbnb,"San Francisco, CA",Mid,Hybrid,140805,"Transformers, Feature Engineering, Data Engineering, Spark, scikit-learn, NLP, Power BI",2024,12,2024-12-06,130-160K
33,MLOps Engineer,Meta,"Bengaluru, India",Senior,Remote,42435,"LLM, Spark, GCP, Docker",2022,4,2022-04-16,<70K
34,MLOps Engineer,TCS,"Boston, MA",Lead,Hybrid,161344,"Git, R, Airflow, Computer Vision, Machine Learning, Transformers, Pandas, Python",2025,2,2025-02-25,160K+
35,AI Engineer,Amazon,"Mumbai, India",Mid,Remote,40146,"Computer Vision, Feature Engineering, MLOps, Scala",2025,10,2025-10-11,<70K
36,Data Analyst,Intel,Remote,Senior,Hybrid,90300,"Data Engineering, Kubernetes, A/B Testing, Spark, MLOps, Git, Computer Vision",2025,5,2025-05-25,70-100K
37,NLP Engineer,IBM,"New York, NY",Mid,Hybrid,127312,"Tableau, scikit-learn, Transformers, Deep Learning",2023,4,2023-04-13,100-130K
38,Deep Learning Engineer,Infosys,"San Francisco, CA",Mid,Hybrid,104630,"PyTorch, Azure, FastAPI, GCP, Data Engineering, Git",2024,12,2024-12-01,100-130K
39,AI Research Scientist,TCS,"Austin, TX",Entry,Remote,87424,"FastAPI, Spark, R, Computer Vision, MLOps, Azure",2024,7,2024-07-11,70-100K
40,MLOps Engineer,HCL Technologies,"Hyderabad, India",Senior,Onsite,43508,"SQL, Airflow, Scala, TensorFlow, Transformers, Azure, Machine Learning",2025,3,2025-03-02,<70K
41,Data Scientist,Apple,"Boston, MA",Mid,Onsite,125408,"FastAPI, Power BI, Deep Learning, A/B Testing, SQL",2025,1,2025-01-12,100-130K
42,Data Scientist,Google,"Mumbai, India",Entry,Remote,23774,"GCP, SQL, Docker, Hadoop",2023,11,2023-11-04,<70K
43,LLM Engineer,Amazon,"Bengaluru, India",Senior,Remote,49217,"Computer Vision, Kubernetes, LLM, PyTorch, Statistics, Python, Docker",2024,7,2024-07-13,<70K
44,Data Analyst,Amazon,Remote,Senior,Remote,101977,"LLM, Computer Vision, TensorFlow, AWS, Tableau, Azure, scikit-learn, A/B Testing",2022,11,2022-11-11,100-130K
45,Machine Learning Engineer,Nvidia,"Los Angeles, CA",Mid,Remote,109567,"Docker, Linux, AWS, NumPy, Power BI, Transformers",2023,9,2023-09-25,100-130K
46,LLM Engineer,Nvidia,"Hyderabad, India",Mid,Onsite,35685,"Tableau, Data Engineering, Hadoop",2025,10,2025-10-20,<70K
47,MLOps Engineer,Apple,"Los Angeles, CA",Mid,Hybrid,112233,"Power BI, scikit-learn, Tableau, Python, Scala",2025,2,2025-02-08,100-130K
48,Deep Learning Engineer,IBM,"Hyderabad, India",Senior,Hybrid,55152,"Data Engineering, SQL, Deep Learning, Docker, Computer Vision, GCP",2025,5,2025-05-22,<70K
49,LLM Engineer,IBM,"Chicago, IL",Mid,Hybrid,145252,"Pandas, Feature Engineering, Tableau, LLM, Power BI",2023,12,2023-12-07,130-160K
50,Data Scientist,Wipro,"Mumbai, India",Senior,Remote,32495,"A/B Testing, Tableau, Statistics, PyTorch, FastAPI, NLP, Docker, Computer Vision",2024,5,2024-05-01,<70K
51,Deep Learning Engineer,Microsoft,"San Francisco, CA",Entry,Remote,102642,"R, NLP, Python, Statistics",2024,8,2024-08-11,100-130K
52,Data Scientist,Google,"Amsterdam, Netherlands",Mid,Onsite,109876,"R, Machine Learning, PyTorch, Java, A/B Testing, Airflow",2024,5,2024-05-03,100-130K
53,AI Architect,Microsoft,"Pune, India",Senior,Onsite,50884,"Scala, Git, Data Engineering, LLM",2025,7,2025-07-10,<70K
54,LLM Engineer,Google,"Mumbai, India",Entry,Onsite,30280,"Azure, Power BI, Deep Learning, R, Computer Vision, A/B Testing, Tableau, TensorFlow",2023,7,2023-07-15,<70K
55,Deep Learning Engineer,IBM,"San Francisco, CA",Mid,Remote,153724,"Machine Learning, Spark, Power BI, Airflow, A/B Testing, Transformers",2024,4,2024-04-14,130-160K
56,Machine Learning Engineer,Amazon,"New York, NY",Mid,Remote,148085,"Kubernetes, LLM, Statistics",2024,8,2024-08-23,130-160K
57,Data Scientist,Nvidia,"Seattle, WA",Mid,Hybrid,103598,"TensorFlow, Linux, Transformers, LLM, MLOps, Python, Scala",2023,11,2023-11-27,100-130K
58,AI Research Scientist,Databricks,"San Francisco, CA",Senior,Onsite,177172,"TensorFlow, AWS, A/B Testing, Power BI, Transformers, Spark, MLOps",2023,10,2023-10-14,160K+
59,MLOps Engineer,IBM,"San Francisco, CA",Mid,Remote,123522,"NLP, Kubernetes, scikit-learn, Azure, Pandas, Hadoop, Docker, R",2025,9,2025-09-02,100-130K
60,AI Engineer,Apple,"Seattle, WA",Lead,Hybrid,226764,"Python, Feature Engineering, FastAPI, SQL, NLP, Power BI, AWS",2024,8,2024-08-21,160K+
61,AI Engineer,Google,"Seattle, WA",Entry,Remote,88830,"R, Computer Vision, SQL, Transformers, LLM, Airflow, Java, Pandas",2023,9,2023-09-01,70-100K
62,LLM Engineer,Microsoft,"Sydney, Australia",Lead,Hybrid,136548,"Docker, R, Statistics",2024,5,2024-05-14,130-160K
63,AI Research Scientist,SpaceX,"Seattle, WA",Mid,Remote,124882,"Java, MLOps, Machine Learning, Scala, Git, Airflow, Linux",2024,9,2024-09-09,100-130K
64,NLP Engineer,Meta,"Seattle, WA",Senior,Onsite,135919,"Docker, Data Engineering, A/B Testing, AWS, Kubernetes, Tableau",2025,7,2025-07-15,130-160K
65,Data Analyst,Tesla,"Ahmedabad, India",Mid,Remote,25444,"TensorFlow, Transformers, A/B Testing, Pandas, Feature Engineering, Airflow",2024,11,2024-11-26,<70K
66,NLP Engineer,SpaceX,"Los Angeles, CA",Entry,Hybrid,104298,"scikit-learn, NLP, Data Engineering, PyTorch, Power BI, Spark, Python",2025,7,2025-07-28,100-130K
67,MLOps Engineer,Microsoft,"Los Angeles, CA",Lead,Remote,183203,"Airflow, Deep Learning, scikit-learn, Linux, R, A/B Testing, Tableau, GCP",2025,11,2025-11-23,160K+
68,Computer Vision Engineer,IBM,"Chicago, IL",Senior,Remote,186830,"Statistics, Spark, Deep Learning, Azure, PyTorch, Git, Transformers, Pandas",2025,8,2025-08-06,160K+
69,Deep Learning Engineer,AMD,"San Francisco, CA",Senior,Remote,182385,"Linux, Docker, Hadoop, Scala, FastAPI",2024,3,2024-03-06,160K+
70,Machine Learning Engineer,Snowflake,"Austin, TX",Senior,Hybrid,157024,"Docker, Spark, Feature Engineering, Transformers, MLOps, Java, R",2025,8,2025-08-10,130-160K
71,MLOps Engineer,Amazon,"Boston, MA",Mid,Hybrid,123952,"Linux, Power BI, Feature Engineering, Scala, Docker, NLP, GCP, Hadoop",2023,7,2023-07-19,100-130K
72,AI Engineer,Apple,"Bengaluru, India",Entry,Onsite,31260,"Tableau, Python, PyTorch, Feature Engineering, LLM, NumPy",2024,5,2024-05-25,<70K
73,NLP Engineer,Snowflake,"Austin, TX",Senior,Hybrid,158017,"MLOps, NLP, TensorFlow, Docker, Airflow, Spark, SQL, Statistics",2024,3,2024-03-03,130-160K
74,Computer Vision Engineer,Apple,"Boston, MA",Mid,Onsite,155002,"Scala, Java, Tableau, Kubernetes, Power BI",2025,8,2025-08-26,130-160K
75,Data Scientist,Tesla,"London, UK",Mid,Remote,78984,"Airflow, NumPy, Deep Learning, Python",2023,2,2023-02-15,70-100K
76,AI Engineer,Wipro,"Seattle, WA",Mid,Hybrid,143370,"NLP, Spark, A/B Testing, SQL, Transformers",2025,4,2025-04-21,130-160K
77,Machine Learning Engineer,Deloitte,Singapore,Mid,Hybrid,134591,"TensorFlow, LLM, R, Computer Vision",2022,9,2022-09-05,130-160K
78,AI Engineer,OpenAI,"Amsterdam, Netherlands",Senior,Hybrid,160766,"Docker, FastAPI, NLP, Java, Hadoop, LLM, Azure",2025,5,2025-05-02,160K+
79,Deep Learning Engineer,Amazon,"Boston, MA",Mid,Remote,138306,"NumPy, Pandas, PyTorch, GCP, MLOps, NLP, R, FastAPI",2024,11,2024-11-07,130-160K
80,MLOps Engineer,Databricks,"San Francisco, CA",Senior,Remote,115594,"Azure, Machine Learning, Spark, scikit-learn",2025,10,2025-10-01,100-130K
81,Data Scientist,SpaceX,"Ahmedabad, India",Mid,Onsite,31405,"SQL, MLOps, Python",2024,4,2024-04-19,<70K
82,Data Scientist,Amazon,"San Francisco, CA",Senior,Hybrid,153508,"Machine Learning, A/B Testing, Data Engineering, Git, AWS, Power BI, Statistics, PyTorch",2024,4,2024-04-20,130-160K
83,Machine Learning Engineer,HCL Technologies,"Berlin, Germany",Mid,Hybrid,156822,"PyTorch, A/B Testing, Airflow",2024,2,2024-02-16,130-160K
84,Deep Learning Engineer,Salesforce,"Toronto, Canada",Mid,Remote,128292,"Tableau, Transformers, Git, Scala",2023,9,2023-09-20,100-130K
85,AI Engineer,HCL Technologies,"San Francisco, CA",Senior,Onsite,150572,"Azure, Linux, Data Engineering, R, Computer Vision, Scala, Kubernetes",2025,7,2025-07-14,130-160K
86,Deep Learning Engineer,Apple,"Seattle, WA",Mid,Onsite,128563,"A/B Testing, Machine Learning, Deep Learning, FastAPI, TensorFlow, Feature Engineering, Azure, PyTorch",2025,6,2025-06-26,100-130K
87,Machine Learning Engineer,Google,"Mumbai, India",Senior,Hybrid,52890,"Pandas, Linux, PyTorch, A/B Testing, Docker, LLM",2024,2,2024-02-19,<70K
88,LLM Engineer,Microsoft,"Los Angeles, CA",Senior,Remote,185281,"NumPy, Computer Vision, Tableau, Statistics, Java, Airflow, Azure",2025,10,2025-10-20,160K+
89,MLOps Engineer,Airbnb,Remote,Senior,Hybrid,142149,"AWS, Tableau, LLM",2025,6,2025-06-01,130-160K
90,Data Scientist,Microsoft,"Bengaluru, India",Entry,Hybrid,24730,"Deep Learning, Scala, Azure",2024,8,2024-08-11,<70K
91,Machine Learning Engineer,Apple,"Seattle, WA",Lead,Hybrid,209613,"Docker, Kubernetes, PyTorch",2025,5,2025-05-15,160K+
92,MLOps Engineer,IBM,"Boston, MA",Mid,Onsite,132609,"Pandas, Linux, Computer Vision",2023,11,2023-11-19,130-160K
93,LLM Engineer,Anthropic,"San Francisco, CA",Mid,Hybrid,136548,"Azure, LLM, MLOps",2025,5,2025-05-11,130-160K
94,Machine Learning Engineer,IBM,"Boston, MA",Entry,Hybrid,92417,"Java, Pandas, Machine Learning, Airflow",2025,1,2025-01-14,70-100K
95,Machine Learning Engineer,Samsung,"Berlin, Germany",Senior,Hybrid,162191,"FastAPI, Statistics, Computer Vision, GCP, Python, Kubernetes, Deep Learning, Airflow",2025,8,2025-08-27,160K+
96,Deep Learning Engineer,OpenAI,"Boston, MA",Entry,Hybrid,81448,"Scala, Deep Learning, Airflow, Linux, Docker, NumPy",2024,6,2024-06-25,70-100K
97,Machine Learning Engineer,Adobe,"San Francisco, CA",Mid,Onsite,137933,"Pandas, Docker, Hadoop, NLP, Power BI",2023,10,2023-10-05,130-160K
98,NLP Engineer,DeepMind,"New York, NY",Senior,Hybrid,163671,"Data Engineering, Transformers, Java, Machine Learning, Spark, TensorFlow, Hadoop",2024,5,2024-05-26,160K+
99,Data Scientist,Google,"Los Angeles, CA",Mid,Hybrid,115270,"NumPy, Statistics, Machine Learning",2024,2,2024-02-20,100-130K
100,LLM Engineer,OpenAI,Remote,Lead,Hybrid,210891,"Data Engineering, GCP, Transformers",2024,9,2024-09-05,160K+
101,Data Analyst,Salesforce,"London, UK",Senior,Onsite,87830,"Java, AWS, TensorFlow",2023,8,2023-08-15,70-100K
102,LLM Engineer,Snowflake,"Austin, TX",Lead,Remote,206046,"PyTorch, scikit-learn, Machine Learning, NLP, Git",2023,12,2023-12-28,160K+
103,MLOps Engineer,Qualcomm,"Toronto, Canada",Mid,Hybrid,113914,"Pandas, LLM, Airflow, MLOps",2024,2,2024-02-10,100-130K
104,LLM Engineer,DeepMind,"Seattle, WA",Entry,Hybrid,91050,"Scala, Deep Learning, Linux, Power BI, AWS, Python, Feature Engineering, Docker",2023,4,2023-04-11,70-100K
105,Data Analyst,IBM,"New York, NY",Entry,Remote,79426,"Java, Scala, TensorFlow",2025,10,2025-10-05,70-100K
106,LLM Engineer,Microsoft,"New York, NY",Senior,Hybrid,186892,"Data Engineering, TensorFlow, FastAPI, NumPy",2025,4,2025-04-15,160K+
107,MLOps Engineer,TCS,"Pune, India",Mid,Remote,40792,"GCP, NumPy, Data Engineering, Spark, Git, Docker",2025,9,2025-09-17,<70K
108,AI Engineer,Amazon,"New York, NY",Senior,Onsite,170243,"A/B Testing, NumPy, NLP",2025,9,2025-09-28,160K+
109,Machine Learning Engineer,Microsoft,"New York, NY",Mid,Hybrid,137316,"Deep Learning, Spark, Data Engineering, R, AWS, Python",2024,7,2024-07-17,130-160K
110,AI Engineer,OpenAI,"San Francisco, CA",Mid,Remote,129334,"scikit-learn, Docker, MLOps",2022,8,2022-08-23,100-130K
111,AI Research Scientist,TCS,"Los Angeles, CA",Senior,Onsite,141633,"Power BI, Azure, Docker",2024,12,2024-12-20,130-160K
112,LLM Engineer,Microsoft,"Seattle, WA",Mid,Remote,139056,"Feature Engineering, Machine Learning, Computer Vision, FastAPI, Data Engineering, Hadoop",2024,1,2024-01-21,130-160K
113,LLM Engineer,Meta,"New York, NY",Mid,Hybrid,140508,"FastAPI, AWS, Deep Learning, Scala",2025,2,2025-02-17,130-160K
114,LLM Engineer,HCL Technologies,"Los Angeles, CA",Entry,Onsite,130530,"Git, NumPy, Power BI",2025,6,2025-06-26,130-160K
115,Machine Learning Engineer,Meta,"Bengaluru, India",Entry,Hybrid,26314,"MLOps, TensorFlow, Pandas, scikit-learn, AWS",2025,11,2025-11-15,<70K
116,AI Product Manager,IBM,"New York, NY",Entry,Hybrid,92945,"TensorFlow, Statistics, GCP, SQL, Airflow, NLP",2025,6,2025-06-10,70-100K
117,LLM Engineer,SpaceX,"Chicago, IL",Mid,Onsite,138918,"Statistics, Pandas, PyTorch, scikit-learn",2023,6,2023-06-14,130-160K
118,Computer Vision Engineer,Wipro,"Toronto, Canada",Mid,Onsite,112198,"R, NumPy, Tableau, Airflow, TensorFlow, Java",2024,7,2024-07-20,100-130K
119,AI Architect,Amazon,"Seattle, WA",Entry,Remote,127132,"LLM, Data Engineering, Linux, Kubernetes, Pandas",2024,12,2024-12-28,100-130K
120,Computer Vision Engineer,Snowflake,"Boston, MA",Senior,Onsite,181796,"Machine Learning, Airflow, NumPy",2024,12,2024-12-22,160K+
121,Machine Learning Engineer,Google,"Berlin, Germany",Senior,Hybrid,186356,"Machine Learning, Hadoop, NumPy, Git",2025,1,2025-01-20,160K+
122,Machine Learning Engineer,Salesforce,"Austin, TX",Mid,Remote,118664,"Scala, NumPy, Airflow, Transformers",2024,4,2024-04-04,100-130K
123,Machine Learning Engineer,Amazon,"Chicago, IL",Lead,Remote,242079,"Data Engineering, Azure, Statistics, R, GCP",2023,2,2023-02-15,160K+
124,Machine Learning Engineer,Infosys,"Sydney, Australia",Senior,Onsite,141568,"Pandas, Machine Learning, Statistics, LLM, Kubernetes",2025,12,2025-12-21,130-160K
125,Machine Learning Engineer,OpenAI,"New York, NY",Lead,Onsite,221791,"R, SQL, NumPy, Feature Engineering",2025,9,2025-09-05,160K+
126,MLOps Engineer,Microsoft,"Seattle, WA",Lead,Hybrid,233375,"FastAPI, Scala, Machine Learning, R, Kubernetes, Transformers, TensorFlow",2024,11,2024-11-17,160K+
127,AI Engineer,Tesla,"Pune, India",Senior,Remote,41140,"Linux, Java, PyTorch, Computer Vision",2024,5,2024-05-06,<70K
128,Machine Learning Engineer,Baidu,"New York, NY",Lead,Hybrid,193119,"Deep Learning, Power BI, GCP, Tableau, MLOps",2024,10,2024-10-18,160K+
129,Machine Learning Engineer,DeepMind,Remote,Senior,Remote,172235,"scikit-learn, TensorFlow, SQL, Java, R, Transformers, Git",2024,11,2024-11-07,160K+
130,NLP Engineer,Nvidia,"Bengaluru, India",Mid,Hybrid,32674,"LLM, A/B Testing, Hadoop, Airflow, Feature Engineering",2022,1,2022-01-06,<70K
131,AI Engineer,IBM,"New York, NY",Senior,Remote,135721,"Transformers, Pandas, Airflow, Machine Learning, Git, AWS, Power BI, Tableau",2023,4,2023-04-15,130-160K
132,Machine Learning Engineer,Salesforce,"New York, NY",Entry,Onsite,96991,"FastAPI, Hadoop, Kubernetes, Scala, R, Statistics, NumPy",2024,3,2024-03-16,70-100K
133,AI Architect,Salesforce,"Toronto, Canada",Mid,Remote,135066,"Java, Feature Engineering, Hadoop, NLP, Statistics, AWS",2022,5,2022-05-16,130-160K
134,LLM Engineer,McKinsey,"Bengaluru, India",Mid,Remote,41279,"Linux, MLOps, Power BI",2025,7,2025-07-12,<70K
135,Machine Learning Engineer,Google,Remote,Mid,Remote,118503,"Java, Data Engineering, Tableau, FastAPI, LLM, scikit-learn",2024,3,2024-03-04,100-130K
136,AI Engineer,HCL Technologies,"Austin, TX",Lead,Onsite,240756,"Java, Airflow, TensorFlow, MLOps",2025,8,2025-08-17,160K+
137,AI Engineer,Snowflake,"Chicago, IL",Mid,Hybrid,118234,"Airflow, LLM, scikit-learn, Java",2025,9,2025-09-16,100-130K
138,Deep Learning Engineer,Apple,"London, UK",Mid,Hybrid,131513,"LLM, SQL, A/B Testing, MLOps, Transformers, Airflow",2025,10,2025-10-19,130-160K
139,Data Scientist,Google,"Los Angeles, CA",Mid,Hybrid,126446,"Docker, Hadoop, TensorFlow, Statistics, Pandas, PyTorch",2023,8,2023-08-11,100-130K
140,AI Engineer,Nvidia,"New York, NY",Mid,Hybrid,111224,"PyTorch, MLOps, Azure, Tableau, Kubernetes, scikit-learn",2024,7,2024-07-11,100-130K
141,Data Analyst,Salesforce,"Chicago, IL",Mid,Hybrid,85060,"Power BI, A/B Testing, GCP, Java, Computer Vision, MLOps, Tableau, Docker",2023,5,2023-05-25,70-100K
142,Data Scientist,Amazon,"Bengaluru, India",Mid,Remote,37315,"Tableau, Statistics, Computer Vision, Java, scikit-learn, Scala, GCP, Linux",2025,3,2025-03-10,<70K
143,Machine Learning Engineer,ByteDance,"San Francisco, CA",Lead,Hybrid,167231,"A/B Testing, Azure, GCP, FastAPI, Tableau, MLOps, Feature Engineering, Pandas",2023,2,2023-02-20,160K+
144,Deep Learning Engineer,Meta,"San Francisco, CA",Lead,Remote,217514,"PyTorch, NLP, FastAPI, scikit-learn",2025,2,2025-02-22,160K+
145,NLP Engineer,Google,Remote,Lead,Hybrid,199225,"A/B Testing, GCP, Statistics, Kubernetes, Docker, Transformers",2022,2,2022-02-21,160K+
146,LLM Engineer,Uber,"Hyderabad, India",Lead,Onsite,66460,"FastAPI, AWS, TensorFlow, Airflow",2025,3,2025-03-24,<70K
147,Data Analyst,Samsung,"Toronto, Canada",Entry,Hybrid,50923,"scikit-learn, Statistics, Feature Engineering",2025,9,2025-09-17,<70K
148,LLM Engineer,Baidu,"Berlin, Germany",Mid,Remote,117395,"scikit-learn, Kubernetes, Feature Engineering",2024,12,2024-12-06,100-130K
149,Machine Learning Engineer,Apple,"Seattle, WA",Senior,Remote,180860,"Airflow, Linux, Transformers, TensorFlow, GCP, scikit-learn, PyTorch",2023,3,2023-03-16,160K+
150,Data Scientist,Meta,"Seattle, WA",Mid,Onsite,119305,"LLM, Python, Power BI, NumPy, Hadoop",2022,2,2022-02-15,100-130K
151,Data Scientist,Nvidia,"Los Angeles, CA",Lead,Hybrid,184586,"Computer Vision, Statistics, NumPy, Spark, MLOps",2024,8,2024-08-24,160K+
152,AI Product Manager,OpenAI,"Bengaluru, India",Lead,Onsite,56344,"Azure, Hadoop, Deep Learning, Power BI, Spark, A/B Testing, Pandas, AWS",2022,10,2022-10-04,<70K
153,Machine Learning Engineer,Airbnb,"Los Angeles, CA",Senior,Remote,156311,"Scala, Data Engineering, Computer Vision, Azure, R",2022,9,2022-09-15,130-160K
154,NLP Engineer,Salesforce,"Chicago, IL",Mid,Remote,127661,"LLM, SQL, Airflow, MLOps, FastAPI, Python",2025,10,2025-10-03,100-130K
155,Machine Learning Engineer,OpenAI,"San Francisco, CA",Lead,Onsite,214486,"A/B Testing, TensorFlow, Statistics",2024,3,2024-03-25,160K+
156,MLOps Engineer,Wipro,"Mumbai, India",Mid,Onsite,30412,"Git, Scala, Deep Learning, scikit-learn, A/B Testing, Linux",2024,11,2024-11-28,<70K
157,AI Engineer,Amazon,"Chicago, IL",Mid,Hybrid,159718,"Python, SQL, LLM, Feature Engineering",2025,9,2025-09-14,130-160K
158,LLM Engineer,Deloitte,"Seattle, WA",Mid,Remote,147431,"Computer Vision, TensorFlow, FastAPI, LLM, Git, Data Engineering, Python, Scala",2023,2,2023-02-20,130-160K
159,Machine Learning Engineer,Databricks,"Bengaluru, India",Entry,Hybrid,23085,"Data Engineering, Spark, Azure, Git, Linux, A/B Testing",2022,9,2022-09-10,<70K
160,Data Scientist,Qualcomm,Remote,Senior,Onsite,158797,"Hadoop, LLM, Docker, Scala, Spark",2024,5,2024-05-02,130-160K
161,LLM Engineer,Databricks,"Hyderabad, India",Entry,Hybrid,24910,"R, PyTorch, Pandas, A/B Testing, Transformers, scikit-learn, GCP",2025,6,2025-06-23,<70K
162,AI Engineer,Microsoft,"Austin, TX",Senior,Hybrid,182499,"LLM, Docker, Feature Engineering, PyTorch",2024,7,2024-07-18,160K+
163,LLM Engineer,OpenAI,"Seattle, WA",Mid,Remote,158894,"NumPy, Deep Learning, GCP, SQL, MLOps, R",2025,10,2025-10-02,130-160K
164,AI Research Scientist,Amazon,"Pune, India",Senior,Hybrid,46446,"Azure, scikit-learn, LLM, A/B Testing, Feature Engineering, Python",2023,4,2023-04-24,<70K
165,Machine Learning Engineer,Goldman Sachs,"Los Angeles, CA",Mid,Hybrid,148598,"Airflow, Hadoop, Transformers, Statistics",2024,9,2024-09-21,130-160K
166,AI Engineer,Meta,"Chicago, IL",Mid,Remote,136964,"A/B Testing, Transformers, Azure, AWS, Kubernetes, R, SQL, Statistics",2025,12,2025-12-05,130-160K
167,Machine Learning Engineer,Airbnb,Remote,Senior,Remote,186989,"scikit-learn, Spark, Git, Hadoop",2024,11,2024-11-22,160K+
168,Data Scientist,TCS,"Los Angeles, CA",Senior,Hybrid,180704,"Kubernetes, Pandas, Scala, Machine Learning, NumPy, Tableau",2024,9,2024-09-21,160K+
